id,vi,cn
1,"Bức thư viết cho chính mình số 001 Kế từ hôm nay, mỗi ngày bạn hãy cười lên! Trên đời này, thực ra trừ việc sinh tử thì cũng đừng tự làm khố mình, cho dù xảy ra chuyện rắc rối đến thế nào đi nữa cũng tháng nỗ lực về sau rồi. Bởi vì luôn còn có ngày mai, hôm nay mãi mãi chỉ là vạch kẻ xuất phát cho chuỗi hành trình sau này.",写给自己的第1封信 不管遇到了什事，都不应该 世上除了生死， 都是小事。 每天微笑吧， 从今天开始， 无论今天发生多么糟糕的事， 都不要自己为难自己； 么烦心事， 因为有明天， 感到悲伤。 今天是你往后日子里最年轻的一天了， 今天永远 只是起跑线。
2,"Bức thư viết cho chính mình số 002 Đời người luôn có những điều ấm áp không mong mà tới cùng với cả những hi vọng không ngừng lớn lên. Cho dù con đường phía trước có biết bao khố ải, chỉ cần hướng đi chính xác thì dù trên đường đi đó có bao nhiêu chông gai, gập ghềnh cũng còn gần với bến bờ hạnh phúc hơn rất nhiều so với việc chỉ đứng mãi ở vạch xuất phát.",写给自己的第2封信 和生生不息的希望。 不管前方的路有 总会有不期而遇的温暖， 人生， 多苦， 不管多么崎岖不平，都比站在原地更接近幸福。 只要走的方向正确，
3,"Bức thư viết cho chính mình số 003 Bạn là một người vô cùng mạnh mẽ, bất kế lúc nào cũng phải tự bắt mình làm được trọn vẹn 100% những Kì vọng của bản thân đặt ra. Nhưng nghiêm khắc không phải là điều lúc nào cũng tốt, bạn không phải thiên tài, vì thế hãy cho phép mình phạm sai lầm. Đừng quá vội vàng, thời gian sẽ giúp bạn trưởng thành cùng với những nỗ lực của chính mình.",写给自己的第3封信 时时刻刻要求自己做到百分之百的超出期望值。但 你是个要强的人， 不要太着急， 是苛求并不是个好现象， 请允许自己犯错。 你并不是天才， 你的努力， 时间都会帮你兑现。
4,"Bức thư viết cho chính mình số 004 Thời gian thay đối, lòng người cũng đối thay, cuộc sống của chúng ta đều tựa như một bộ phim điện ảnh không có suất chiếu lại. Có những thứ dù chúng ta có nỗ lực cố gắng đến thế nào đi nữa thì cũng chẳng bao giờ trở lại như xưa. Cũng như vậy mà suy, trên đời này, khoảng cách xa nhất không phải là yêu cũng chẳng phải là hận mà đôi khi đơn giản chỉ là những người quen biết nhau dần trở nên xa lạ đến đáng sợ với nhau.",写给自己的第4封信 有些事不 人也在变。 生命是一场无法回放的绝版电影， 时间在变， 管你如何努力， 不是爱， 回不去就是回不去了。 世界上最远的距离， 不是 渐渐变得陌生。 而是熟悉的人，
5,"Bức thư viết cho chính mình số 005 Có nhiều lúc bạn đã cố gắng hết sức bình sinh và nỗ lực không mệt mỏi nhưng vẫn chưa thể có được những thứ bạn muốn, không phải vì bạn không xứng mà đôi tiếp tục để bản thân mình vẫn cố gắng như thế, nỗ lực hơn thế nữa, chỉ có vậy thôi.",写给自己的第5封信 很多时候你在奋力拼搏后未能获得你想要的， 并不是因为你不配， 而 将如此努力的自己继续保持下 只是咬紧牙关， 只是时机未到， 你要做的， 仅此， 而已。
6,"Bức thư viết cho chính mình số 006 Cái gọi là kì tích, có thể hiểu nôm na như thế này: Kì tích không có nghĩa là những thứ mà thượng đế ban tặng cho một ai đó không đáng được nhận, mà thực ra nỗi mà chính họ cũng không biết. Kì tích chỉ là đến sớm hay muộn chứ trước giờ chưa bao giè giờ “vắ váng mặt: shẽnghuó.”.",写给自己的第6封信 大概都是这样吧一—奇迹并非是上天赐予某人原本不应获 所谓奇迹， 却从不缺席。 它只会迟到， 而是对于勤奋者姗姗来迟的褒奖， 得的东西，
7,"Bức thư viết cho chính mình số 007 ấy: “Từ trước tới nay, tôi đều tin rằng trên đời này nhất định có một “tôi” khác tồn tại, dám làm những thứ chúng ta không dám làm, sống một cuộc sống chúng ta không dám sống”. Thực ra thì ai trong chúng ta đều có một bản ngã khác của chính mình, chỉ cần chúng ta thực sự muốn, chẳng có gì mà chúng ta không dám làm, chẳng có khó",写给自己的第7封信 “我始终相信，- 一定有另一 在这个世界上， 宫崎骏在他的电影里说: 我们每个 个自己，在做着我不敢做的事，在过着我想过的生活。 其实， 没有我们过 就没有我们不敢做的事， 只要我们愿意， 人就是另一个自己， 不上的生活。
8,"Bức thư viết cho chính mình số 008 của cấp trên mình, bạn thèm muốn đôi khuyên tai kim cương chị cùng trường đang đeo. Thực ra bạn không cần phải đi ngưỡng mộ những thứ này, chỉ cần bạn nỗ lực, của bạn, lại là thứ họ chẳng bao giờ cảm nhận được.",写给自己的第8封信 学姐们 或许你会羡慕上司的房子、 车子， 或许你感觉自己一无所有，  只要努力， 其实你不用羡慕这些， 岁月都会带 所有的一切， 的钻石耳钉。 却是他们再也无法拥有的。 而你的年轻岁月， 给你。
9,"Bức thư viết cho chính mình số 009 Bạn bây giờ là kết quả của những hành động ngày trước tạo nên. Nếu bạn ghét bản thân của hiện tại thì càng nên ngẫm lại và xem lại mình. Bởi vì, mỗi điều ở hiện tại mà bạn không hài lòng đều có cùng nguyên nhân: Do trước kia bạn cố gắng và nỗ lực chưa đú.",写给自己的第9封信 都是你以前的种种行为造成的。如果你讨厌自己的现 你现在的结果， 都有一个不努力 因为每一个你不满意的现在， 更应该反思一下自己。 的曾经。
10,"Bức thư viết cho chính mình số 010 Tuối trẻ chính là lúc nếm trải cực khố, cũng chính là lúc chúng ta nỗ lực hết mình. Bạn nhất định phải tin rằng: Đằng sau những nỗ lực kia cần có thêm sự động mà thôi.",写给自己的第10封信 正是发奋努力的时候。 每一个 年轻正是吃苦的时候， 你一定要相信， 必有加倍的奖赏。 发奋努力的背后， 今天的生活是由三年前决定的， 但是 如果你今天还过着和三年前一样的生活， 那么三年后的你仍将如此。
11,"Bức thư viết cho chính mình số 011 Có một khái niệm: Phấn đấu chính là bình thản sống mỗi ngày, làm thật tốt những việc bản thân đang phải làm, không trì hoãn, không than phiền, không thoái thác và không lười biếng. Mỗi ngày cố gắng thêm một chút một chút mới có thể gộp thành ngàn vạn dũng khí, mang theo sự kiên trì, dẫn bạn đến những nơi bạn muốn đến.",写给自己的第11封信 其实奋斗就是每天踏踏实实地过好日子， 做好手头的每件小事， 不拖 不抱怨、 每一天一点一滴的努力， 不偷懒。 不推卸、 才能汇集起千万 带着你的坚持， 勇气， 引领你到你想要到的地方去。
12,"Bức thư viết cho chính mình số 012 Trong cuộc sống của mình, mỗi người biết cố gắng và nỗ lực đều có thể từ nhộng hóa bướm. Bạn cần tin rằng, một ngày nào đó, bạn sẽ phá chiếc vỏ nhộng để chui ra, trở lên đẹp đẽ hơn tất thảy những gì mong đợi. Nhưng quá trình này sẽ rất đau đớn, sẽ rất khổ sở, và lắm lúc còn làm bạn nản lòng. Đối diện với những hiện thực đầy sóng gió, đôi khi bạn sẽ cảm thấy bản thân mình lực bất tòng tâm. Nhưng đây cũng là một phần của cuộc sống. Hãy làm tốt những thứ mình có thể làm, rồi sau đó, tương lai sẽ xử lí phần còn lại, mọi thứ sẽ tốt lên thôi! lài",写给自己的第12封信 每一个努力的人都能在岁月中破茧成蝶， 有一天你将破蛹 你要相信， 而出， 但这个过程会很痛， 成长得比人们期待的还要美丽， 会很辛苦， 有 时候还会觉得灰心。面对着汹涌而来的现实.是生命的一部分。做好现在你能做的，然后， 时候还会觉得灰心。 觉得自己渺小无力，一切都会好起来。 但这也
13,"Bức thư viết cho chính mình số 013 Những con người thành công trước khi bước đến bục vinh quang, không thể tránh khỏi có những thời điểm vô cùng mờ nhạt. Những lúc như thế, bạn không cần hải sơ hãi ø] cả, cũng chắng cần phải nhụt chí e ngại, chỉ cần cốổ gắng vững bước về phía mục tiêu, sau đó lại dốc sức gấp ba gấp bốn so với những gì mình đã bỏ ra, có thể",写给自己的第13封信 难免都会有一段黯淡的时光。 每个成功的人在成功之前， 你无 此时， 只需努力朝着自己的目标大步迈进， 须害怕， 然后再付出强 也无须胆怯， 于以往三倍的努力， 你一定会超越现在的自己。 若干年后，
14,"Bức thư viết cho chính mình số 014 Những người thành công đều có thời điểm chịu đựng trước tất cả, không than phiền, không oán trách, không ngừng cố gắng, một mình chịu đựng sự cô đơn lẻ loi. trong đêm, và vẫn vững tin rằng, dù ở trong bóng tối mù mịt, hoa vẫn có thể bung nở Tực rỡ. ũ",写给自己的第14封信 不责难， 不断努 都会有一段沉默的时光， 每一个优秀的人， 不抱怨、 坚信在黑暗中也能盛开出最好的花。 忍受着黑夜的孤独与寂寞，
15,"Bức thư viết cho chính mình số 015 Bây giờ bạn vẫn còn rất trẻ, cho nên đừng có vì quần áo của mình không đẹp bằng người ta, túi xách chẳng phải hàng hiệu và tiền tiết kiệm không đủ nối 10 triệu mà cảm thấy lo lắng. Vì mỗi người ai cũng phải trải qua những lúc như thế. Chính bản thân bạn là nguồn gốc của tất thảy, muốn thay đổi thế giới này thì trước tiên bạn phải thay đối chính bản thân mình.",写给自己的第15封信 完全没有必要因为你的衣服不如别人， 你现在还很年轻， 包不是名 因为每一个人都是这样过来的， 或者存款还不到五位数而觉得不安。 你自己才是一切的根源， 首先要改变自己！ 要想改变人生，
16,"Bức thư viết cho chính mình số 016 Cho dù khi bạn sinh ra có ngay một tấm thẻ bài vận mệnh cực đẹp thì cũng không thếể đảm bảo đời bạn cứ sẽ thế mà thuận buồm xuôi gió. Tấm thẻ bài này càng không đảm bảo rằng trong trò chơi cuộc đời bạn sẽ nắm chắc phần thắng. Cục diện nước đi một, nỗ lực phấn đấu bằng tất cả trí óc để tranh đấu mà giành phần chiến thắng huy hoàng.",写给自己的第16封信 也不能保证你人生的棋局会步步顺畅， 纵使你天生就拿到一副好牌， 也未必能保证你在生活的博弈中稳操胜券。 要靠自己步步 好的人生棋局， 为营， 努力去争取。
17,"Bức thư viết cho chính mình số 017 Tất thảy sự thành công đều đến từ những nỗ lực không mệt mỏi; hạnh phúc cũng thế, đều đến từ những sự kiên trì và cố gắng rất bình thường. Bạn không thể tìm được một con đường nào ngắn hơn nữa đâu. ũ 3%Ị,",写给自己的第17封信 所有的成功，奋斗和坚持，你无 成功，都来自于不倦的努力和奔跑；你无法找到捷径。 所有幸福，都来自平凡的
18,"Bức thư viết cho chính mình số 018 Lúc người ta thức đêm thì bạn say giấc nồng, lúc người ta tỉnh giấc thì bạn vẫn thì vẫn cứ kiên trì đến cùng. Bạn xem một cuốn sách thì “mất cả thế kỷ” lúc cần làm không thể làm được, mà là vì bạn chẳng chịu bỏ công bỏ sức đủ nhiều như những người bình thường khác.",写给自己的第18封信 你还在挣扎再多睡几 你在睡觉；别人已经起床， 别人在熬夜的时候， 别人却一件事坚持到底。 你有很多想法， 你连 但脑袋热了就过了， 分钟。  肯定也不能早晨起来背单 一本书都要看很久， 该工作的时候就刷起手机， 晚上加班到深夜。很多时候不是你平凡，b 而是你没有别人 碌碌无为， 付出得多。 一
19,"Bức thư viết cho chính mình số 019 Khi có ai đó coi thường bắt nạt bạn, bạn không cần phải đau lòng, mỗi người ai cũng có cuộc sống riêng của mình, không ai có thể suốt đời ở bên bạn được. Điều đáng lo nhất chính là việc tự nghĩ rằng mình có một vị trí đặc biệt trong lòng người khác. Thực ra chúng ta đều hiểu rằng, thứ nhỏ bé nhất chính là tình cảm, thứ lạnh lùng nhất chính là lòng người, cái gì là của bạn thì nó sẽ phải là của bạn. Có những thứ tựa như cát trong tay, càng nắm chặt thì càng dễ mất đi. Đã cố gắng rồi, trân trọng rồi, bản thân tự thấy không hổ thẹn là được rồi. Mọi thứ khác, bạn hãy để số phận quyết định!",写给自己的第19封信 谁都不可 每个人都有自己的生活， 当一个人忽略你时， 不要伤心，- 最尴尬的莫过于高估自己在别人心里的位置，一 能一直陪你。 其实你明明知 最卑贱不过感情， 有的东西就像 就是你的。 最凉不过人心。 是你的， 努力了， 就会流失得越快。 其他 珍惜了， 越是紧握， 手中沙， 问心无愧。 交给命运。
20,"Bức thư viết cho chính mình số 020 Trên đời này không có công việc nào mà không vất vả, không có việc đời nào mà không phức tạp. Xin đừng dễ dàng nối nóng tức giận vì không ai nợ bạn một điều gì cả. Hãy học cách khiêm tốn, trong mọi lựa chọn đều có được và mất, đừng quá tính toán thiệt hơn. Học cách sống bình thản mà vẫn đầy thực tế, càng nỗ lực phấn đấu thì bạn sẽ càng cảm thấy may mắn. Khi một con người hội tụ đủ cả vật chất lẫn tiỉnh thần thì cuộc đời nhất định sẽ chỉ có thể thành công viên mãn.",写给自己的第20封信 没有一处人事不复杂。 世上没有一件工作不辛苦， 不要随意发脾气， 不用太计较。 学着踏实而务 谁都不欠你的。 取舍间必有得失， 学会低调， 越努力越幸运。 人生就会变 当一个人有了足够的内涵和物质做后盾， 得底气十足。
21,Bức thư viết cho chính mình số 021 Những cố gắng của bạn ngày hôm nay sẽ là điềm báo may mắn cho tương lai.,写给自己的第21封信 你今天的努力， 是幸运的伏笔。 是明日的花开。 当下的付出，
22,"Bức thư viết cho chính mình số 022 Cho dù đêm hôm qua bạn đã khóc lóc đau đớn vật vã đến thế nào, sáng hôm sau khi tỉnh dậy, bạn sẽ thấy dòng đời vẫn cứ tấp nập trôi, giống như thành phố này vẫn xô bồ náo nhiệt như vậy. Bạn có vui hay không, thế giới xung quanh cũng chẳng quan tâm đâu. Bạn chỉ có thể đem những cảm xúc đó giữ lại trong lòng hoặc quên đi. Người mà bạn đã từng yêu hay từng thù hận đế sinh ra những xúc cảm đau buồn đó, rồi cũng sớm đi vào quên lãng thôi.",写给自己的第22封信 不管昨夜经历了怎样的泣不成声，● 早晨醒来这个城市依然车水马龙。 一你只能铭记或者遗忘。那一站你爱过 开心或者不开心， 城市都没有工夫等， 那一段你拼命努力却感觉不到希望的日子，都会过去。 或者恨过的旅程，
23,"Bức thư viết cho chính mình số 023 Tôi không dám nghỉ ngơi vì vẫn chưa có một khoản tiết kiệm nào của riêng mình; tôi không dám kêu mệt vì tôi vẫn chưa thành công; tôi không dám lười biếng vì tôi vẫn còn đang phải sống; tôi có thể từ bỏ lựa chọn nhưng không thể lựa chọn từ bỏ. Vì vậy, tôi chỉ còn có lựa chọn duy nhất là kiên cường, phấn đấu và nỗ lực cho đến tận lúc thành công. de Ryóu. ;ÓU. !",写给自己的第23封信 我不 因为我没有成就; 我不敢说累， 我不敢休息，因为我没有存款； 但是我不能选择放弃。 我能放弃选择， 因为我还要生活; 敢偷懒， 所以， 努力是我唯一的选择。 拼搏、 坚强、
24,"Bức thư viết cho chính mình số 024 là vì chuyện học hành hoặc là vì mưu sinh hoặc cũng có thể là do vấn đề luyến ái, phải rời xa cha mẹ một mình đến thành phố khác làm việc sinh sống. Mỗi khi bạn thấy mệt mỏi chán chường, hãy thử nghĩ tới cha mẹ đang vì bạn mà cố gắng không hề kêu than, đây chính là lí do vĩ đại nhất khiến bạn phải tiếp tục chiến đấu kiên cường.",写给自己的第24封信 或许是因为一份学业， 每一个优秀的人，都有一段苦逼的时光。一 份工作， 当你倦了厌了 去了一座别的城市。 一段爱情， 离开了爸爸妈妈， 想想你的父母正在为你打拼， 这就是你必须坚强的理由。
25,"Bức thư viết cho chính mình số 025 Xã hội này rất thực tế thậm chí thực dụng, khi bạn không hề có thực lực, người",写给自己的第25封信 这个社会是现实的， 人家首先看你外表。 你没有实力的时候， 所以，  努力增强实力，当你既没外表又没实力的时候， 当你没有外表的时候， 人 家只会跟你说: 拜拜。
26,"Bức thư viết cho chính mình số 026 Mua được những thứ mình thích, đến được nơi mình muốn đến, không phải vì sự xuất hiện hay ra đi của ai đó mà ảnh hưởng đến quyết định cuộc sống của mình. Ngược lại, tiêu tiền của mình mà bạn sẽ cảm thấy có động lực làm việc hơn rất nhiều. Đây chính là nguyên nhân mà chúng ta nên cố gắng hơn, nỗ lực hơn.",写给自己的第26封信 不会因为身边人的 去得了自己想去的地方， 买得起自己喜欢的东西， 来得更有底气一些， 反而会因为花自己的钱， 来或走损失生活的质量， 这 就是应该努力的原因。
27,"Bức thư viết cho chính mình số 027 Không có ai đi cùng bạn suốt cả cuộc đời, vì vậy bạn buộc phải làm quen với sự cô độc; càng không có ai giúp đỡ bạn được cả đời, vì vậy bạn càng phải không ngừng cố gắng.",写给自己的第27封信 没有人会帮你一辈子， 没有人陪你走一辈子， 所以你要适应孤独； 所 以你要一直奋斗。
28,"Bức thư viết cho chính mình số 028 Mỗi buổi sáng thức dậy, bạn hãy đặt cho mình một mục tiêu: Ngày hôm nay nhất định phải tốt hơn hôm qua! Kiên trì mỗi ngày, nhất định bạn sẽ thu được thành quả!",写给自己的第28封信 给自己定个目标： 每天坚持， 今天一定要比昨天好！ 早上醒来时， 定会大有收获！
29,"Bức thư viết cho chính mình số 029 Hãy bình tĩnh lại và làm tốt những gì bạn nên làm, đã đến lúc phải nỗ lực rồi! Khi thực sự cố gắng và tập trung, bạn sẽ phát hiện ra hóa ra mình giỏi hơn mình UÍU'H“g I1dL ldL Iliiicu,",写给自己的第29封信 有时候真的努力后， 该好好努力了！ 静下心来好好做你该做的事， 你 等 会发现自己要比想象得优秀很多
30,Bức thư viết cho chính mình số 030 cho những người đã từng coi thường bạn nhìn thấy sự thành công của bạn và hãy lấy đó làm mục tiêu để cố gắng không ngừng nghỉ.,写给自己的第30封信 蹦出来把曾经看不起自己的人吓一大 等变厉害之后， 悄悄地去努力， 才是你现在需要当作目标的事。
31,"Bức thư viết cho chính mình số 031 Những nỗ lực của bạn có thể sẽ bị ai đó nhạo báng; sự cố chấp của bạn có thể chẳng có ai hiểu được. Trong con mắt của người khác bạn có thể là chỉ là một cô hề, nhưng trong tâm mình bạn lại chính là nữ hoàng danh giá! kẽnéng!",写给自己的第31封信 你的执着， 也许不会有人读懂。在别人 你的努力， 也许有人会讥讽； 但在自己心中你就是女王! 眼里你也许是小丑，
32,"Bức thư viết cho chính mình số 032 ngạc, mặc dù tôi không có khối gia tài kếch xù nhưng tôi tự hào lấp đầy trái tim mình bằng niềm đam mê mãnh liệt. Tôi lạc quan bởi vì tôi rất tin tưởng rằng: Chỉ cần nỗ lực, không có chuyện gì là không thể)!",写给自己的第32封信 纵然我没有惊世才华， 但是我有满腔的激情， 纵然我没有丰厚财富， 我有乐观的态度， 因为我相信： 一切皆有可能！ 只要努力，
